Rules;2012-02-29 11:13,,,,,,,
;,,,,,,,
ITEM;PROPOSITION,,,,,,,
nl.knaw.dans.easy.web.main.AbstractEasyNavPage:managementBarPanel;[SessionUser has role ARCHIVIST or ADMIN],,,,,,,
nl.knaw.dans.easy.web.admin.UsersOverviewPage;[SessionUser has role ARCHIVIST or ADMIN],,,,,,,
nl.knaw.dans.easy.web.admin.UserDetailsPage;[SessionUser has role ARCHIVIST or ADMIN],,,,,,,
nl.knaw.dans.easy.web.admin.EditableContentPage;[SessionUser has role ARCHIVIST or ADMIN],,,,,,,
nl.knaw.dans.easy.web.search.pages.MyDatasetsSearchResultPage;[SessionUser has role USER or ARCHIVIST or ADMIN],,,,,,,
nl.knaw.dans.easy.web.search.pages.MyWorkSearchResultPage;[SessionUser has role ARCHIVIST],,,,,,,
nl.knaw.dans.easy.web.search.pages.OurWorkSearchResultPage;[SessionUser has role ARCHIVIST],,,,,,,
nl.knaw.dans.easy.web.search.pages.AllWorkSearchResultPage;[SessionUser has role ARCHIVIST],,,,,,,
nl.knaw.dans.easy.web.search.pages.SearchAllSearchResultPage;[SessionUser has role ARCHIVIST or ADMIN],,,,,,,
nl.knaw.dans.easy.web.search.pages.TrashCanSearchResultPage;[SessionUser has role ARCHIVIST or ADMIN],,,,,,,
nl.knaw.dans.easy.web.permission.PermissionReplyPage;([SessionUser is depositor of dataset] OR [SessionUser has role ARCHIVIST]),,,,,,,
nl.knaw.dans.easy.web.permission.PermissionRequestPage;[SessionUser has role USER or ARCHIVIST or ADMIN],,,,,,,
nl.knaw.dans.easy.web.jamon.EasyJamonAdminPage;[SessionUser has role ADMIN],,,,,,,
nl.knaw.dans.easy.web.deposit.DepositIntroPage;[SessionUser has role USER or ARCHIVIST or ADMIN],,,,,,,
nl.knaw.dans.easy.web.deposit.DepositPage;[SessionUser has role USER or ARCHIVIST or ADMIN],,,,,,,
nl.knaw.dans.easy.web.admin.UserDetailsPage:userDetailsPanel:switchPanel:userInfoForm:state;Split answer: ComponentVisisble <== [SessionUser has role ARCHIVIST or ADMIN] EnableAllowed <== ([SessionUser has role ADMIN] AND NOT([SessionUser is user under edit])),,,,,,,
nl.knaw.dans.easy.web.admin.UserDetailsPage:userDetailsPanel:switchPanel:userInfoForm:roles;Split answer: ComponentVisisble <== [SessionUser has role ARCHIVIST or ADMIN] EnableAllowed <== ([SessionUser has role ADMIN] AND NOT([SessionUser is user under edit])),,,,,,,
nl.knaw.dans.easy.web.search.AdvancedSearchPage:advancedSearchForm:depositorOptions;[SessionUser has role USER],,,,,,,
nl.knaw.dans.easy.web.search.AdvancedSearchPage:advancedSearchForm:archivistOptions;[SessionUser has role ARCHIVIST],,,,,,,
nl.knaw.dans.easy.web.view.dataset.DatasetViewPage:reuseLink;[SessionUser is depositor of dataset],,,,,,,
nl.knaw.dans.easy.web.view.dataset.DatasetViewPage:infosegmentPanel;[SessionUser has role USER or ARCHIVIST or ADMIN],,,,,,,
nl.knaw.dans.easy.web.view.dataset.DatasetViewPage:infosegmentPanel:changeDepositorLink;[SessionUser has role ARCHIVIST],,,,,,,
nl.knaw.dans.easy.web.view.dataset.DatasetViewPage:infosegmentPanel:statusPanel;([SessionUser is depositor of dataset] OR [SessionUser has role ARCHIVIST or ADMIN]),,,,,,,
nl.knaw.dans.easy.web.view.dataset.DatasetViewPage:infosegmentPanel:statusPanel:continueDeposit;([SessionUser is depositor of dataset] AND [Dataset state is DRAFT]),,,,,,,
nl.knaw.dans.easy.web.view.dataset.DatasetViewPage:infosegmentPanel:statusPanel:deleteDataset;(([SessionUser is depositor of dataset] AND [Dataset state is DRAFT]) OR ([SessionUser has role ARCHIVIST] AND [Dataset state is DRAFT or SUBMITTED or PUBLISHED or MAINTENANCE])),,,,,,,
nl.knaw.dans.easy.web.view.dataset.DatasetViewPage:infosegmentPanel:statusPanel:restoreDeleted;([SessionUser has role ADMIN] AND [Dataset state is DELETED]),,,,,,,
nl.knaw.dans.easy.web.view.dataset.DatasetViewPage:infosegmentPanel:statusPanel:unsubmit;([SessionUser has role ARCHIVIST] AND [Dataset state is SUBMITTED]),,,,,,,
nl.knaw.dans.easy.web.view.dataset.DatasetViewPage:infosegmentPanel:statusPanel:publish;Split answer: ComponentVisisble <== ([SessionUser has role ARCHIVIST] AND [Dataset state is SUBMITTED]) EnableAllowed <== ([SessionUser has role ARCHIVIST] AND [Dataset state is SUBMITTED] AND [Required steps of workflow are completed]),,,,,,,
nl.knaw.dans.easy.web.view.dataset.DatasetViewPage:infosegmentPanel:statusPanel:unpublish;([SessionUser has role ARCHIVIST] AND [Dataset state is PUBLISHED]),,,,,,,
nl.knaw.dans.easy.web.view.dataset.DatasetViewPage:infosegmentPanel:statusPanel:maintain;([SessionUser has role ARCHIVIST] AND [Dataset state is PUBLISHED]),,,,,,,
nl.knaw.dans.easy.web.view.dataset.DatasetViewPage:infosegmentPanel:statusPanel:republish;([SessionUser has role ARCHIVIST] AND [Dataset state is MAINTENANCE] AND [Required steps of workflow are completed]),,,,,,,
nl.knaw.dans.easy.web.view.dataset.DatasetViewPage:infosegmentPanel:statusPanel:pubProgressPanel;([SessionUser is depositor of dataset] OR [SessionUser has role ARCHIVIST]),,,,,,,
nl.knaw.dans.easy.web.view.dataset.DatasetViewPage:infosegmentPanel:statusPanel:pubProgressPanel:assignToForm;[SessionUser has role ARCHIVIST],,,,,,,
nl.knaw.dans.easy.web.view.dataset.DatasetViewPage:tabs:panel:jumpoffPanel:toggleEditorButton;[SessionUser has role ARCHIVIST or ADMIN],,,,,,,
nl.knaw.dans.easy.web.view.dataset.DatasetViewPage:tabs:panel:jumpoffPanel:addButton;[SessionUser has role ARCHIVIST or ADMIN],,,,,,,
nl.knaw.dans.easy.web.view.dataset.DatasetViewPage:tabs:panel:jumpoffPanel:editButton;[SessionUser has role ARCHIVIST or ADMIN],,,,,,,
nl.knaw.dans.easy.web.view.dataset.DatasetViewPage:tabs:panel:jumpoffPanel:deleteButton;[SessionUser has role ARCHIVIST or ADMIN],,,,,,,
nl.knaw.dans.easy.web.view.dataset.DatasetViewPage:tabs:panel:jumpoffPanel:viewEditJumpoffPanel:editForm;[SessionUser has role ARCHIVIST or ADMIN],,,,,,,
nl.knaw.dans.easy.web.view.dataset.DatasetViewPage:tabs:panel:jumpoffPanel:viewEditJumpoffPanel:jumpoffMetadataPanel;[SessionUser has role ARCHIVIST or ADMIN],,,,,,,
nl.knaw.dans.easy.web.view.dataset.DatasetViewPage:tabs:panel:editLink;[SessionUser has role ARCHIVIST],,,,,,,
void nl.knaw.dans.easy.business.item.ItemWorkDispatcher.addDirectoryContents(EasyUser, Dataset, DatasetItemContainer, File, FileFilter, UnitOfWork, ItemIngesterDelegator, WorkListener[]);([SessionUser has role ARCHIVIST] OR ([Dataset state is DRAFT] AND [SessionUser is depositor of dataset]))
void nl.knaw.dans.easy.business.item.ItemWorkDispatcher.updateObjects(EasyUser, Dataset, List, UpdateInfo, ItemFilters, UnitOfWork, WorkListener[]);([SessionUser has role ARCHIVIST] OR (([SessionUser is depositor of dataset] AND [Dataset state is DRAFT]) AND [Update actions are confined to { DELETE, RENAME } ]))
void nl.knaw.dans.easy.business.item.ItemWorkDispatcher.updateFileItemMetadata(EasyUser, Dataset, ResourceMetadataList, AdditionalMetadataUpdateStrategy, WorkListener[]);[SessionUser has role ARCHIVIST],,,
void nl.knaw.dans.easy.business.item.ItemWorkDispatcher.saveDescriptiveMetadata(EasyUser, UnitOfWork, Dataset, Map, WorkListener[]);[SessionUser has role ARCHIVIST],,,
FileItemDescription nl.knaw.dans.easy.business.item.ItemWorkDispatcher.getFileItemDescription(EasyUser, Dataset, FileItem);([Dataset state is PUBLISHED] OR [SessionUser has role ARCHIVIST or ADMIN] OR [SessionUser is depositor of FileItem]),,,,,
FileItem nl.knaw.dans.easy.business.item.ItemWorkDispatcher.getFileItem(EasyUser, Dataset, DmoStoreId);([SessionUser has role ARCHIVIST or ADMIN] OR [SessionUser is depositor of FileItem] OR [Profile of sessionUser matches access rights for the contents of the FileItem]),,,,,
FileItem nl.knaw.dans.easy.business.item.ItemWorkDispatcher.getFileItemByPath(EasyUser, Dataset, String);[NoSecurityOfficer implements no security],,,,,
